s,desired_out
那獃子出得門來，只見一個小童，拿了四把茶匙，方丈尋鍾取果看茶；被他一把奪過，跑上殿，拿著小磬兒，用手亂敲亂打，兩頭玩耍。,八戒:奪:小童
叫沙和尚：「你把行李捎在我馬上，你馱他一程罷。」,三藏:叫道:沙僧
那怪見八戒走了，就奔沙僧。,老妖:奔:沙僧
高才道：「他說是東土駕下差來的御弟聖僧，前往西天拜佛求經的。」,高才:道:太公
眾僧不忍分別，直送有十里之遙，噙淚而返。,眾僧:送:三藏
那妖道：「蓬萊山是海島神仙境界。」,精細鬼、伶俐蟲:道:行者
好大聖，急縱身又要跳出，被佛祖翻掌一撲，把這猴王推出西天門外，將五指化作金、木、水、火、土五座聯山，喚名『五行山』，輕輕的把他壓住。,如來佛祖:翻掌一撲:孫悟空
行者道：「這妖精在山前住，是山後住？」,行者:道:眾神
慌得那風婆婆捻住布袋，巽二郎劄住口繩，上前施禮。,風婆婆:施禮:行者
大聖道：「自清濁初開，天不滿西北，地不滿東南，太上道祖解化女媧，補完天缺，行至崑崙山下，有根仙藤，藤結有兩個葫蘆。我得一個是雄的，你那個卻是雌的。」,行者:道:銀角
悟空道：「也不學！不學！」,孫悟空:道:菩提祖師
行者道：「不是翻船；若翻船，八戒會水，他必然保師父，負水而出。我纔見那個掉船的有些不正氣，想必就是這廝弄風，把師父拖下水去了。」,行者:道:沙僧
行者道：「師父，我在你頭上哩。你莫要心焦，少得煩惱。我們務必拿住妖精，方纔救得你的性命。」,行者:道:三藏
卻說那玉帝次日設朝，只見張天師引御馬監監丞、監副在丹墀下拜奏道：「萬歲，新任弼馬溫孫悟空，因嫌官小，昨日反下天宮去了。」,張天師:下拜奏道:玉皇大帝
好行者，把身子小一小，脫下索來道：「師父去啞！」,行者:道:三藏
菩薩道：「既他是三昧火，神通廣大，怎麼去請龍王，不來請我？」,菩薩:道:行者
三藏下床，扯住道：「你往那裏去？」,三藏:道:孫悟空
八戒道：「你雖變了頭臉，還不曾變得屁股。那屁股上兩塊紅不是？我因此認得是你。」,八戒:道:行者
八戒道：「尋一個鵝卵石，拋在當中。若是濺起水泡來，是淺；若是骨都都沉下有聲，是深。」,八戒:道:三藏
那八戒食腸大，口又大，一則是聽見童子喫時，便覺饞蟲拱動，卻纔見了果子，拿過來，張開口，轂轆的囫圇吞嚥下肚，卻白著眼胡賴，向行者、沙僧道：「你兩個喫的是甚麼？」,八戒:道:行者、沙僧
大仙笑道：「好仙童啊！成仙的人，神滿再不思睡，卻怎麼這般困倦？莫不是有人做弄了他也？快取水來。」,鎮元大仙:笑道:清風、明月
那怪從新禮拜三藏，願隨西去。,怪:禮拜道:三藏
沙僧道：「大哥乾淨推佯死慣了！」,沙僧:道:三藏
菩薩道：「姓孫的，你認得我麼？」,菩薩:道:孫悟空
表曰：「西域之法，無君臣父子，以三塗六道，蒙誘愚蠢；追既往之罪，窺將來之福；口誦梵言，以圖偷免。且生死壽夭，本諸自然；刑德威福，係之人主。今聞俗徒，矯託皆云由佛。自五帝、三王，未有佛法；君明臣忠，年祚長久。至漢明帝始立胡神，然惟西域桑門，自傳其教。實乃夷犯中國，不足為信。」,傅奕:表曰:唐王
只見方丈果然無火，眾僧搶入裏面，叫道：「公公！唐僧乃是神人，未曾燒死，如今反害了自己家當！趁早拿出袈裟，還他去也。」,眾僧:叫道:方丈
八戒使鈀架住道：「你是個甚麼妖精，敢在此間攩路？」,八戒:架住道:妖精
那太尉執一首引魂旛，在前引路。,朱太尉:引:唐王 
行者道：「我纔心中煩惱，欲將簡帖為證，上奏天庭，問你個通同作怪，搶奪人口之罪；據你所言，是那廝不遵教誨，我且饒你這次：一則是看你昆玉分上；二來只該怪那廝年幼無知，你也不甚知情。你快差人擒來，救我師父，再作區處。」,行者:道:龍王
三藏見了，歡喜領受。,三藏:領受:老者
僧官道：「老爺是上國欽差，小和尚有失迎接。今到荒山，奈何俗眼不識尊儀，與老爺邂逅相逢。動問老爺：一路上是喫素？是喫葷？我們好去辦飯。」,僧官:道:三藏
八戒道：「哥哥，怎麼不言語？」,八戒:道:行者
李天王與哪吒叩頭謝辭，徑至本宮，點起三軍，帥眾頭目，著巨靈神為先鋒，魚肚將掠後，藥叉將催兵。,托塔天王、哪吒:叩頭謝辭:玉皇大帝
八戒寂寂道：「那裏有得？」,八戒:道:行者
三藏道：「悟空，你來了？袈裟如何？」,三藏:道:孫悟空
公主道：「長老啊，你是我的恩人，你替我折辯了家書，救了我一命，我也留心放你；不期洞門之外，你有個大師兄孫悟空來了，叫我放你哩。」,公主:道:沙僧
龍王聞言道：「原來如此。先生，你前者所放金色鯉魚，即我也。你是救我的恩人，你今有難，我豈有不救你之理？」,龍王:聞言:光蕊
八戒觀之不盡，滿心歡喜道：「哥啊，好去處！果然是天下第一名山！」,八戒:道:行者
三藏道：「又來了！」,三藏:道:行者
行者歡喜道：「菩薩，載得我了。」,行者:歡喜道:菩薩
行者道：「我想這樁事都是觀音菩薩沒理，他有這個禪院，在此受了這裏人家香火，又容那妖精鄰住。我去南海尋他，與他講一講，教他親來問妖精討袈裟還我。」,孫悟空:道:三藏
八戒牽了馬匹道：「這個人家，是過當的富實之家。」,八戒:道:三藏、行者、 八戒
行者將那稱名趕怪鑽入河中之事，說了一遍。,行者:說:三藏
三藏道：「徒弟啊，這河有多少寬麼？」,三藏:道:行者
行者道：「我回寺中，同師父睡覺去。」,行者:道:八戒
三老驚訝道：「五莊觀是鎮元大仙的仙宮。你莫不是把他人參果偷喫了？」,壽星、福星、祿星:驚訝道:行者
陳老在岸上聽言，急命人家中取一束稻草，卻請唐僧上岸下馬。,老者:請:三藏
行者道：「可憐！菩薩這等多心。我弟子自秉沙門，一向不幹那樣事了。你教我留些當頭，卻將何物？我身上這件綿布直裰，還是你老人家賜的。這條虎皮裙子，能值幾個銅錢？這根鐵棒，早晚卻要護身。但只是頭上這個箍兒，是個金的，卻又被你弄了個方法兒長在我頭上，取不下來。你今要當頭，情願將此為當。你念個鬆箍兒咒，將此除去罷；不然，將何物為當？」,行者:道:菩薩
行者道：「我怎留根？」,行者:道:八戒
沙僧一把扯住道：「哥啊，他哄你哩。你幾時又喫人肉哩？」,沙僧:扯住道:八戒
祖師道：「你快回去，全你性命；若在此間，斷然不可！」,菩提祖師:道:孫悟空
眾小妖答應一聲，把三人一齊綑了，抬在後邊。,小妖:綑:三藏、八戒、沙僧
行者道：「你可認得那些菩薩麼？」,行者:道:八戒
行者道：「你要作甚？」,行者:道:八戒
大聖道：「且喜這番玉帝相愛，果封做『齊天大聖』，起一座齊天府，又設安靜、寧神二司，司設仙吏侍衛。向後見我無事，著我看管蟠桃園。近因王母娘娘設『蟠桃大會』，未曾請我，是我不待他請，先赴瑤池，把他那仙品、仙酒，都是我偷喫了。走出瑤池，踉踉蹡蹡悞入老君宮闕，又把他五個葫蘆金丹也偷喫了。但恐玉帝見罪，方纔走出天門來也。」,孫悟空:道:四健將
老妖道：「不遠，只有三百里。」,老妖:道:國王
天師聞言，即進靈霄殿上啟奏，蒙差查勘九曜星官、十二元辰、東西南北中央五斗、河漢群辰、五岳四瀆、普天神聖都在天上，更無一個敢離方位。,四大天師:啟奏:玉帝
諕得個長老用手扯住道：「悟空！你走將來打誰？」,三藏:扯住道:行者
鱖婆道：「大王，可記得那幫手是甚相貌？」,鱖婆:道:怪物
那東廂閃過徐茂功、魏徵、王珪、杜如晦、房玄齡、袁天罡、李淳風、許敬宗等；西廂閃過殷開山、劉弘基、馬三寶、段志賢、程咬金、秦叔寶、胡敬德、薛仁貴等：一齊上前，在白玉階前，俯伏啟奏道：「陛下前朝一夢，如何許久方覺？」,魏徵:啟奏道:唐王
那怪撲的跪下，望空似搗碓的一般，只管磕頭道：「阿彌陀佛，南無佛，我若不是真心實意，還教我犯了天條，劈屍萬段！」,怪:磕頭道:行者
行者卻將假葫蘆兒遞與小妖換了。,行者:遞與:精細鬼、伶俐蟲
魔王領諾，即呼左右，將二從者剖腹剜心，剁碎其屍。,魔王:領諾:熊山君
三藏道：「正是，徒弟啊，你可去與他幫幫功。」,三藏:道:沙僧
那禪師笑云：「道路不難行，試聽我吩咐：千山千水深，多瘴多魔處。若遇接天崖，放心休恐怖。行來摩耳巖，側著腳踪步。仔細黑松林，妖狐多截路。精靈滿國城，魔主盈山住。老虎坐琴堂，蒼狼為主簿。獅象盡稱王，虎豹皆作御。野豬挑擔子，水怪前頭遇。多年老石猴，那裏懷嗔怒。你問那相識，他知西去路。」,禪師:笑云:三藏
行者笑道：「童男陳關保，童女一秤金。」,行者:笑道:怪物
樵子道：「你說是老實，便怎敢說把他遞解起身？」,樵子:道:行者
行者將金箍棒伸開，那妖不曾防備，絆著腳，撲的一跌。,行者:絆:精細鬼、伶俐蟲
大聖道：「你不在南海修行，卻來此見我做甚？」,孫悟空:道:行者
你思量，那猴子好不溜撒，把那寶貝一口吸在肚裏，那妖魔揝著拳頭就打，被行者一手隔住，把臉抹了一抹，現出本相，道聲「妖怪！不要無禮！你且認認看！我是誰？」,行者:隔住:老妖
即寫下牒文一道，差夜叉徑往洪州城隍、土地處投下，要取秀才魂魄來，救他的性命。,龍王:差:夜叉
又問道：「方纔那虎見了你，怎麼就不動動？讓你自在打他，何說？」,三藏:問道:孫悟空
樵子道：「和尚，他那裏有這許多工夫，只是把你拿住，綑在籠裏，囫圇蒸吃了！」,樵子:道:行者
三藏聞言，害怕道：「是他們放的火麼？」,三藏:道:孫悟空
樵夫道：「我一生命苦：自幼蒙父母養育至八九歲，纔知人事，不幸父喪，母親居孀。再無兄弟姊妹，只我一人，沒奈何，早晚侍奉。如今母老，一發不敢拋離。卻又田園荒蕪，衣食不足，只得斫兩束柴薪，挑向市廛之間，貨幾文錢，糴幾升米，自炊自造，安排些茶飯，供養老母，所以不能修行。」,樵子:道:美猴王
那怪又道：「那黑長的是沙和尚，這長嘴大耳的是豬八戒。」,銀角:道:小妖
笑道：「這個弼馬溫著然會弄嘴弄舌！把個毛坑也與他起個道號，叫做甚麼『五穀輪迴之所』！」,八戒:笑道:行者
太子道：「兒還不敢認實，父王遺下表記與他了。」,太子:道:娘娘
三藏見了，叫：「八戒、沙僧，悟空纔說這裏曠野無人，你看那裏不走出一個人來了？」,三藏:叫:八戒
卻幸得八戒按摸揉擦，須臾間，氣透三關，轉明堂，沖開孔竅，叫了一聲：「師父啊！」,八戒:叫:三藏
唐王大喜，上前將御手扶起道：「法師果能盡此忠賢，不怕程途遙遠，跋涉山川，朕情願與你拜為兄弟。」,唐王:扶起道:玄奘
三藏道：「你既不是此類，卻深夜來此何為？」,三藏:道:皇帝
水中大小眷族問道：「大王每年享祭，回來歡喜，怎麼今年煩惱？」,大小眷族:問道:怪物
觀音合掌道：「貧僧請陛下同道祖出南天門外，親去看看虛實如何？」,菩薩:道:玉帝
只見那班部中，忽跳出一個通背猿猴，厲聲高叫道：「大王若是這般遠慮；真所謂道心開發也！如今五蟲之內，惟有三等名色，不伏閻王老子所管。」,通背猿猴:叫道:美猴王
孫大聖情知是怪物弄風，急縱步來趕時，那怪已騁風頭，將唐僧攝去了。,妖精:攝去:三藏
那道士一齊頓首謝恩。,小道士:謝恩:行者
教：「悟空，快回施主家，收拾行囊，叩背馬匹，趁此層冰，早奔西方去也。」,三藏:教:行者
那怪巧語花言，虛情假意道：「師父啊，此山西去，有一座清幽觀宇。我是那觀裏的道士。」,銀角:道:三藏
行者使棍支住道：「你這鈀可是與高老家做長工築地種菜的？有何好處怕你！」,行者:道:怪
纔出頭，被行者喝道：「看棍！」,行者:喝道:怪物
八戒道：「不好了！我們都裝在䌋縺裏了！」,八戒:道:行者
可憐把個行者頭，勒得似個亞腰葫蘆，十分疼痛難忍，滾將來哀告道：「師父莫念了！有甚話說了罷！」,行者:哀告道:三藏
太宗又不忍二將辛苦，又宣叔寶、敬德與杜、房諸公入宮，吩咐道：「這兩日朕雖得安，卻只難為秦、胡二將軍徹夜辛苦。朕欲召巧手丹青，傳二將真容，貼於門上，免得勞他，如何？」,唐王:吩咐道:敬德
那虎先鋒，腰插著兩口赤銅刀，雙手捧著唐僧，上前跪下道：「大王，小將不才，蒙鈞令差往山上巡邏，忽遇一個和尚，他是東土大唐駕下御弟三藏法師，上西方拜佛求經，被我擒來奉上，聊具一饌。」,猛虎:跪下道:猛虎
行者說：「也罷，我馱著你；若要尿尿把把，須和我說。」,行者:說:妖精
猴王道：「不勞師父盛意，我原有個法名，叫做孫悟空。」,孫悟空:道:三藏
八戒道：「看看那條路兒空濶，好跑。」,八戒:道:行者
妖邪道：「那和尚原來還有一個幫手。他兩個跳上岸去，那幫手輪一條鐵棒打我，我閃過與他相持。也不知他那棍子有多少斤重，我的銅鎚莫想架得他住。戰未三合，我卻敗回來也。」,怪物:道:鱖婆
那十王不敢相近，都去翠雲宮，同拜地藏王菩薩，商量啟表，奏聞上天，不在話下。,十代冥王:商量啟表:菩薩
老妖道：「那裏買賣？」,老妖:道:小妖
石猿端坐上面道：「列位呵，『人而無信，不知其可。』你們纔說有本事進得來，出得去，不傷身體者，就拜他為王。我如今進來又出去，出去又進來，尋了這一個洞天與列位安眠穩睡，各享成家之福，何不拜我為王？」,石猴:面道:眾猴
小姐叫他脫了鞋襪看時，那左腳上果然少了一個小指頭。,殷小姐:叫:玄奘
行者道：「兄弟，前後門皆緊急，如何得入？」,行者:道:八戒
那八戒上前就要度氣，三藏一把扯住道：「使不得！還教悟空來。」,三藏:扯住道:八戒
把門的鬼使喝道：「你是甚人，敢來此處？」,把門的鬼:喝道:劉全
行者轉身，到於廚房門首，道：「獃子，你嚷甚的？想是飯不彀喫。且讓老和尚喫飽，我們前邊大人家，再化喫去罷。」,行者:道:八戒
行者道：「他的身軀小巧，比你還坐得穩當。」,行者:道:菩薩
行者道：「不須慮；等我去請菩薩來。」,行者:道:沙僧
那人掙不脫手，氣得亂跳道：「蹭蹬！蹭蹬！家長的屈氣受不了，又撞著這個光頭，受他的清氣！」,少年:道:孫悟空
他就捻著訣，念一口「唵」字咒，拘得那花園土地前來，對行者施禮道：「大聖，呼喚小神，有何吩咐？」,土地:施禮道:行者
土地道：「有三千六百株：前面一千二百株，花微果小，三千年一熟，人喫了成仙了道，體健身輕。中間一千二百株，層花甘實，六千年一熟，人喫了霞舉飛昇，長生不老。後面一千二百株，紫紋緗核，九千年一熟，人喫了與天地齊壽，日月同庚。」,土地:道:孫悟空
三藏道：「那獃子雖是心性愚頑，卻只是一味懞直，倒也有些膂力，挑得行李；還看當日菩薩之念，救他隨我們去罷。料他以後，再不敢了。」,三藏:道:行者
那魔王果信其言，立在龍床前面，大喝一聲道：「那和尚是幾時離了東土？唐王因甚事著你求經？」,魔王:大喝一聲:行者
這猴王整衣端肅，隨童子徑入洞天深處觀看：一層層深閣瓊樓，一進進珠宮貝闕，說不盡那靜室幽居，直至瑤臺之下。,美猴王:隨:仙童
龍王道：「委的沒有；如有即當奉承。」,東海龍王:道:孫悟空
行者笑吟吟答應。,行者:答應:三藏
那人被行者扯住不放，只得說出道：「此處乃是烏斯藏國界之地，喚做高老莊。一莊人家有大半姓高，故此喚做高老莊。你放了我去罷。」,少年:道:孫悟空
那太子回心道：「正是！且待我問我母親去來。」,太子:道:行者
二魔道：「孫行者神通廣大，那唐僧喫他不成。」,銀角:道:小妖
他撞上來，不分好歹，望菩薩舉釘鈀就就築。,妖魔:舉釘鈀:菩薩
教：「小的們！快把鐵籠抬出來，將這兩個和尚囫圇蒸熟，具柬去請二舅爺來，與他暖壽。」,鼉龍:教:小妖
對眾僧道：「汝等秉立丹衷，切休怠慢佛事。待後功成完備，各各福有所歸，朕當重賞，決不空勞。」,唐王:道:眾僧
婦人道：「也罷，也罷，等我與小女說。」,婦人:道:八戒
三藏道：「你去了時，我卻何倚？」,三藏:道:孫悟空
那怪道：「就可以裝天？」,伶俐蟲:道:行者
八戒忽聽見呼呼聲喊，回頭觀看，乃是行者趕敗的虎怪，就丟了馬，舉起鈀，刺斜著頭一築。,八戒:刺:猛虎
悟空道：「似這般可得長生麼？」,孫悟空:道:菩提祖師
僧官道：「我們從小兒住的寺，師公傳與師父，師父傳與我輩，我輩要遠繼兒孫。他不知是那裏勾當，冒冒實實的，教我們搬哩。」,僧官:道:道人
三藏道：「我這出家人，寧死決不敢行兇。我就死，也只是一身，你卻殺了他六人，如何理說？此事若告到官，就是你老子做官，也說不過去。」,三藏:道:孫悟空
即取金箍棒，幌了一幌，將那平地下週圍畫了一道圈子，請唐僧坐在中間；著八戒、沙僧侍立左右，把馬與行李都放在近身。,行者:著:八戒、沙僧
八戒聞言，心中忐忑，默對行者道：「這是我們的不是：喫了東西，且不走路，只等這般禱祝。卻怎麼答應？」,八戒:道:行者
八戒道：「不是沒規矩，此叫做『番番是福』。」,八戒:道 :三藏
那婦人道：「女婿，你師兄說今朝是天恩上吉日，就教你招進來了；卻只是倉卒間，不曾請得個陰陽，拜堂撒帳，你可朝上拜八拜兒罷。」,婦人:道:八戒
那猴王惱起性來，耳朵中掣出寶貝，幌一幌，碗來粗細；略舉手，把兩個勾死人打為肉醬。,孫悟空:打:兩個勾死人
三藏聞言道：「悟空，凍住河，我們怎生是好？」,三藏:道:行者
三藏道：「我身上穿的這袈裟，是第三樣寶貝。還有第一等，第二等，更好的物哩！」,三藏:道:太子
唐王果是十分賢德，就去那寺裏佛前，與玄奘拜了四拜，口稱「御弟聖僧」。,唐王、玄奘:拜:佛
三藏道：「徒弟呀，卻是不能上去。」,三藏:道:行者
佛祖居於靈山大雷音寶剎之間，一日，喚聚諸佛、阿羅、揭諦、菩薩、金剛、比丘僧、尼等眾曰：「自伏乖猿安天之後，我處不知年月，料凡間有半千年矣。今值孟秋望日，我有一寶盆，具設百樣奇花，千般異果等物，與汝等享此『盂蘭盆會』，如何？」,如來佛祖:曰:諸佛、阿羅、揭諦、菩薩、金剛、比丘僧、尼等
眾臣嚷到天晚，纔把那虎活活的捉了。,眾臣:捉:三藏
卻說長老在那林間，耳熱眼跳，身心不安，急回叫沙僧道：「悟能去化齋，怎麼這早晚還不回？」,三藏:叫道:沙僧
太宗道：「日久年深，山遙路遠，御弟可進此酒，寧戀本鄉一捻土，莫愛他鄉萬兩金。」,唐王:道:三藏
河神道：「老爺勿慮，且請上馬，小神開路，引老爺過河。」,黑水河神:道:唐僧
正敘坐間，只聽得裏面門開處，又走出一個老者，拄著拐杖道：「是甚麼邪魔，黑夜裏來我善門之家？」,老者:道:老者
那公主道：「你這和尚，全無信義：你說放了你師弟，就與我孩兒，怎麼你師弟放去，把我孩兒又留，反來我門首做甚？」,公主:道:行者
處士笑云：「可能待客否？」,特處士:笑雲:魔王
虎力大仙道：「陛下，左右是『棋逢對手，將遇良材。』貧道將鍾南山幼時學的武藝，索性與他賭一賭。」,虎力大仙:道:國王
行者道：「正來進拜，不期路遇華翰，見有『佛衣雅會』，故此急急奔來，願求見見。」,孫悟空:道:黑漢
行者笑道：「你這個兒子，忒沒眼色！你外公雖是小小的，你若肯照頭打一叉柄，就長六尺。」,行者:道:洞主
行者高聲叫道：「師父，請進來耶。」,行者:高叫道:三藏
禪師道：「遠哩！遠哩！只是路多虎豹，難行。」,禪師:道:三藏
小姐道：「我兒，我與你一隻香環，你徑到洪州西北地方，約有一千五百里之程，那裏有個萬花店，當時留下婆婆張氏在那裏，是你父親生身之母。我再寫一封書與你，徑到唐王皇城之內，金殿左邊，殷開山丞相家，是你母生身之父母。你將我的書遞與外公，叫外公奏上唐王，統領人馬，擒殺此賊，與父報仇，那時纔救得老娘的身子出來。我今不敢久停，誠恐賊漢怪我歸遲。」,殷小姐:道:長老
八戒道：「這個卻不知，不知。」,八戒:道:三藏
行者道：「你這個饢糠的獃子！你照顧我做瞎子哩！」,行者:道:八戒
行者笑道：「昨日這家子娘女們，不知是那裏菩薩，在此顯化我等，想是半夜裏去了，只苦了豬八戒受罪。」,行者:笑道:三藏
八戒道：「你可曾問他師父的下落麼？」,八戒:道:行者
這一篇，原來是太子小心，恐怕來傷了唐僧，故意留住妖魔，更不知行者安排著要打。,唐僧:留住:太子
清風罵道：「我把你這個害饞勞、偷嘴的禿賊！你偷喫了我的仙果，已該一個擅食田園瓜果之罪，卻又把我的仙樹推倒，壞了我五莊觀裏仙根，你還要說嘴哩！——若能彀到得西方參佛面，只除是轉背搖車再托生！」,清風:罵道:明月
悟空聞得此言，叩頭禮拜，啟道：「師父，『為人須為徹』，索性捨個大慈悲，將此騰雲之法，一發傳與我罷，決不敢忘恩。」,孫悟空:叩頭禮拜，啟道:菩提祖師
道：「老道宮中，煉了些『九轉金丹』，伺候陛下做『丹元大會』，不期被賊偷去，特啟陛下知之。」,太上老君:道:王母、玉帝
豬八戒口裏作念道：「不好了！不好了！這道士果然有本事！令牌響了一下，果然就刮風！」,八戒:道:八戒
那井龍王忽聞此言，心中大驚道：「這是天蓬元帥來也。昨夜夜遊神奉上敕旨，來取烏雞國王魂靈去拜見唐僧，請齊天大聖降妖。這怕是齊天大聖、天蓬元帥來了。卻不可怠慢他，快接他去也。」,井龍王:道:夜叉
真個把行者拴住，兩個魔頭，卻進後面堂裏飲酒。,金角、銀角:拴住:行者
行者道：「平頂山蓮花洞，蒙二位大王有令，差來請奶奶去喫唐僧肉；教帶幌金繩，要拿孫行者哩。」,行者:道:女怪
僧官道：「等我出去看他。」,僧官:道:道人
明月道：「師兄莫嚷。我們且整了衣冠，莫要驚張了這幾個和尚。這個沒有別人，定是那個毛臉雷公嘴的那廝，他來出神弄法，壞了我們的寶貝。若是與他分說，那廝畢竟抵賴，定要與他相爭，爭起來，就要交手相打，我想我們兩個，怎麼敵得過他四個？且不如去哄他一哄，只說果子不少，我們錯數了，轉與他陪個不是。他們的飯已熟了，等他喫飯時，再貼他些兒小菜。他一家拿著一個碗，你卻站在門左，我卻站在門右，撲的把門關倒，把鎖鎖住，將這幾層門都鎖了，不要放他。待師父來家，憑他怎的處置。他又是師父的故人，饒了他，也是師父的人情；不饒他，我們也拿住個賊在，庶幾可以免我等之罪。」,明月:道:清風
眾僧即奉獻湯水，與他洗了面，換了衣服。,僧人:奉獻:皇帝
卻說那鎮元大仙用手攙著行者道：「我也知道你的本事，我也聞得你的英名，只是你今番越理欺心，縱有騰那，脫不得我手。我就和你講到西天，見了你那佛祖，也少不得還我人參果樹。你莫弄神通。」,鎮元大仙:攙著:行者
又道：「徒弟們，我去之後，或三二年，或五七年，但看那山門裏松枝頭向東，我即回來，不然，斷不回矣。」,玄奘:道:徒弟
三藏道：「這獐鹿想是太保養家了的？」,三藏:道:伯欽
悟空道：「師父，我若不打死他，他卻要打死你哩。」,孫悟空:道:三藏
這怪從草科裏爬出，對長老馬前，乒乓的只情磕頭。,銀角:磕頭:三藏
那行者睜睛看處，真個的背在身上。,行者:背:皇帝
沙僧道：「打寒噤想是傷食病發了。」,沙僧:道:三藏
菩薩道：「汝來何幹？」,菩薩:道:揭諦
太宗道：「是那十八層？」,唐王 :道:崔玨
八戒道：「好！好！好！做個夢罷了，又告誦他。他那些兒不會作弄人哩？就教你三樁兒造化底。」,八戒:道:行者
行者道：「這個叫做『金蟬脫殼計』：他將虎皮蓋在此，他卻走了。我們且回去看看師父，莫遭毒手。」,行者:道:八戒
行者道：「不睡還可，敢問善人，貴地可有賣眼藥的？」,行者:道:老者
你看他急點起五十名小妖，上山巡邏。,銀角:點:小妖
高老道：「天那！還喫得有多少哩！只這一個怪女婿，也被他磨慌了！」,太公:道:行者
土地道：「大聖，錯怪了小神也。這寶貝乃是地仙之物，小神是個鬼仙，怎麼敢拿去？就是聞也無福聞聞。」,土地:道:行者
沙僧道：「天上人間，方便第一。你雖不是渡船，我們也不是常來打攪你的。我等是東土欽差取經的佛子，你可方便方便，渡我們過去，謝你。」,沙僧:道:船上人
八戒道：「在便還在山前，只是如今風轉了也。」,八戒:道:三藏
行者又道：「你這樣行裝，不是個走近路的。你實與我說，你要往那裏去，端的所幹何事，我纔放你。」,孫悟空:道:少年
那人道：「微臣存日，在陽曹侍先君駕前，為茲洲令，後拜禮部侍郎，姓崔名玨。今在陰司，得受酆都掌案判官。」,崔玨:道:唐王 
國王道：「有何事幹？」,國王:道:黃門官
你看他長的使棒，短的輪拳，再小的沒處下手，抱著抓拐啃觔，把那小妖都打得星落雲散，齊聲喊道：「大王啊，事不諧矣！難矣乎哉！滿地盈山，皆是孫行者了！」,小妖:喊道:金角
那菩薩欲留行者，治齋相敘，行者懇辭，隨取了飛龍杖，與大聖一齊駕雲。,行者:懇辭:菩薩
那管家的即將兩件寶貝獻與老魔。,小妖:獻與:金角
行者道：「怎麼與五行相畏？」,行者:道:土地
原來這涇河水府有一個巡水的夜叉，聽見了百下百著之言，急轉水晶宮，慌忙報與龍王道：「禍事了！禍事了！」,夜叉:道:龍王
行者道：「老孫不要。你可把他都捻就了觔，單擺在那四十里路上兩旁，教那些人不放鷹犬，拿回城去，算了汝等之功。」,行者:道:山神、土地
行者道：「莫成是丫頭的頭，和尚的身子？弄的這等不男不女，卻怎生是好？你可佈起罡來。」,行者:道:八戒
那妖慌了，劈手來搶。,老妖:搶:行者
又宣魏徵今夜把守後門。,唐王:宣:魏徵
清風聽見，心疑道：「明月，你聽那長嘴和尚講『人參果還要個喫喫』。師父別時叮嚀，教防他手下人囉唣，莫敢是他偷了我們寶貝麼？」,清風:道:明月
龍王欣喜道：「既如此，不敢久留，請大聖早發慈悲，莫要疏久了你師父。」,龍王:欣喜道:孫悟空
行者笑道：「『門上釘子有多少，只說老豬心忙記不真。』可是麼？」,行者:笑道:八戒
佛祖傳法旨：「教雷將停息干戈，放開營所，叫那大聖出來，等我問他有何法力。」,如來佛祖:傳法旨:三十六員雷將
先生問曰：「公來問何事？」,先生:問曰:龍王
老君道：「也沒有。」,太上老君:道:行者
行者道：「未見。請公公說說。何為靈感？」,行者:道:老者
行者道：「老大莫信他，抱出你令愛來看。」,行者:道:八戒
行者道：「你且休喜歡暢快，我還未曾到手，師父還未曾出門哩。只等有了袈裟，打發得我師父好好的出門，纔是你們的安樂處；若稍有些須不虞，老孫可是好惹的主子！可曾有好茶飯與我師父喫？可曾有好草料喂馬？」,孫悟空:道:眾僧
即差四大天王，協同李天王並哪吒太子，點二十八宿、九曜星官、十二元辰、五方揭諦、四值功曹、東西星斗、南北二神、五岳四瀆、普天星相，共十萬天兵，佈一十八架天羅地網下界，去花果山圍困，定捉獲那廝處治。,玉帝:差:四值功曹
那條龍就趕不上，把他的白馬連鞍轡一口吞下肚去，依然伏水潛踪。,龍:吞下肚:白馬
二魔聞言，急縱雲，跳在空中，輪寶劍來刺，行者掣鐵棒劈面相迎。,行者:劈面相迎:銀角
國王聽說，教：「拿他赴曹。」,國王:教:校尉
那八戒醒來道：「哥哥，你嚷怎的？」,八戒:道:行
那老怪道：「你們來怎的？我往自家兒子去處，愁那裏沒人伏侍，要你們去獻勤塌嘴？都回去！關了門看家！」,女怪:道:小女妖
玄奘讀罷，不覺哭倒在地道：「父母之仇，不能報復，何以為人？十八年來，不識生身父母，至今日方知有母親，此身若非師父撈救撫養，安有今日？容弟子去尋見母親，然後頭頂香盆，重建殿宇，報答師父之深恩也！」,玄奘:道:長老
鎮元子正與唐僧師弟閑敘，聞報，即降階奉迎。,鎮元大仙:奉迎:壽星、福星、祿星
言畢，命掌生死簿判官急取簿子來，看陛下陽壽天祿該有幾何。,崔玨:命:崔玨
行者又吩咐：「叫聲『寂』字，還你收了。」,行者:吩咐:眾僧
行者道：「你那裏知道？像他這個藏頭露尾的，本該打他一頓；只為看菩薩面上，饒他打儘彀了，他還敢受我老孫之拜？老孫自小兒做好漢，不曉得拜人，就是見了玉皇大帝、太上老君，我也只是唱個喏便罷了。」,孫悟空:道:三藏
