,s,summary,res
271,八戒道：「師父，你原來不知。古人劃地為牢。他將棍子劃個圈兒，強似鐵壁銅牆，假如有虎狼妖獸來時，如何攩得他住？只好白白的送與他喫罷了。」,八戒道三藏,"八戒道三藏、行者、沙僧、馬、長老、鯉財童子、佈鰣軍君、��玄奘
"
272,虎力大仙披了法衣，擎著玉簡，對面前舞蹈揚塵，拜伏於地，朝上啟奏道：「誠惶誠恐，稽首歸依。臣等興教，仰望清虛。滅僧鄙俚，敬道光輝。敕修寶殿，御製庭闈。廣陳供養，高掛龍旗。通宵秉燭，鎮日香焚。一誠達上，寸敬虔歸。今蒙降駕，未返仙車。望賜些金丹聖水，進與朝廷，壽比南山。」,虎力大仙道行者,"虎力大仙啟奏道玉帝、徐茂功、蹈拜伏於地，朝上道菩薩
"
273,旁邊擁上七八個綁縛手，將唐僧拿去，好便似鷹拿燕雀，索綁繩纏。,綁縛手索綁三藏,"殷七八個綁縛手拿去三藏、行者、 八戒、沙僧、鹿力大仙
"
274,菩薩道：「袈裟價值五千兩，錫杖價值二千兩。」,菩薩道愚僧,"菩薩道行者、八戒、沙僧、馬、魅風、雷公、電母、長老君
"
275,玉帝聞言甚喜，道：「依卿所奏。」,玉皇大帝道太白金星,"玉皇大帝道太白金星、眾臣、徒弟，徒守山大神、木叉行者、喜財童子、卧珠龍女
"
276,那三藏卻不曾答應，他就使一個性子，將身一縱，說一聲「老孫去也！」,孫悟空說聲三藏,"三藏說八戒、沙僧、黑魚答應孫悟空、精細鬼、伶俐蟲
"
277,那公主道：「你真個有手段麼？」,公主道行者,"公主道行者、八戒、沙僧、馬、鱖小姐、酧天君、雷公、電母、麼君
"
278,那獃子綑在地，氣呼呼的道：「闖禍的潑猴子，無知的弼馬溫！該死的潑猴子，油烹的弼馬溫！猴兒了帳，馬溫斷根！」,八戒道行者,"八戒道三藏、行者、沙僧、馬、齊天府仙吏、酧天君、鍧瓊道士、雷公、電母
"
279,行者辭了菩薩，按落雲頭，將袈裟掛在香柟樹上，掣出棒來，打入黑風洞裏。,孫悟空辭了菩薩,"孫悟空辭了菩薩、按落雲頭蕭瑀、張道士、福星、祿星
"
280,遂命家僮安排筵宴，酬謝唐僧。,太公命家僮,"唐僧酬謝崔玨、倚海龍、流角、奎星、巴山大神、木叉行者、哪吒
"
281,行者道：「我不曾敢打，我問師父，你這法兒是誰教你的？」,孫悟空道三藏,"行者道三藏、八戒、沙僧、曾敢打唐臣、馬、魅、流、奔、巴、鯉
"
282,龍王道：「這個卻是沒有。」,東海龍王道孫悟空,"東海龍王道孫悟空、八戒、沙僧、馬、魅、鯉、酧、蕭瑀、張道大仙
"
283,行者又謝了敖順道：「前日虧令郎縛怪，搭救師父。」,行者謝道龍王,"行者謝道八戒、沙僧、三藏、馬、鹿力大仙、長老、鯿星、 八大神、捧珠龍女
"
284,行者笑道：「如何？」,孫悟空笑道菩薩,"行者笑道三藏、八戒、沙僧、雷公、電母、鱖小姐、鯉太子、長老
"
285,行者道：「你可曾聽得那太子說麼？」,行者道八戒,"行者道三藏、八戒、沙僧、馬、長老、酧天君、雷公、電母、麼君
"
286,光蕊便吩咐家僮收拾行李，即拜辭母親，趲程前進。,光蕊吩咐家僮,"光蕊拜辭母親，趲程前進猛虎、翊臣、 八戒、沙僧
"
287,那怪道：「沒有這話！沒有這話！我拿住唐僧時，止知他有兩個徒弟，叫做豬八戒、沙和尚，何曾見有人說個姓孫的。你不知是那裏來的個怪物，到此騙我！」,老妖道行者,"怪物道大小眷日、木叉行者、善財童子、捧珠龍女道黑魚秀士、鱖少卿
"
288,菩薩大驚道：「你這個猴子，還是這等放潑！他又不曾偷你袈裟，又不與你相識，又無甚冤仇，你怎麼就將他打死？」,菩薩大驚道孫悟空,"菩薩大驚道行者、八戒、沙僧、黑魚精、齊天府仙吏道孫悟空
"
289,後有幾個小女妖，捧著減粧，端著鏡架，提著手巾，托著香盒，跟隨左右。,小女妖跟隨女怪,"小女妖托著香盒、跟隨左右玉皇大帝、 八戒、沙僧、馬、鱖將軍
"
290,大驚道：「呀！怎麼這殿宇俱無？都是紅牆，何也？」,三藏大驚道孫悟空,"鎮元大仙驚道行者、八戒、沙僧、馬、鄧天君、雷公、電母、長老君
"
291,那和尚忽見行者相貌，有些害怕，便問：「那牽馬的是個甚麼東西？」,和尚問三藏,"和尚忽見行者、八戒、沙僧問妖精、黑漢、齊天府仙吏道銀角
"
292,悟空將菩薩勸善，令我等待唐僧揭帖脫身之事，對那老者細說了一遍。,孫悟空說老者,"孫悟空說眾猴、徐茂功、秦瓊菩薩勸善蕭瑀、張氏
"
293,行者道：「二魔已裝在葫蘆裏，想是這會子已化了；大魔纔然一陣戰敗，往西南壓龍山去訖。概洞小妖，被老孫分身法打死一半，還有些敗殘回的，又被老孫殺絕，方纔得入此處，解放你們。」,行者道三藏,"行者道銀角、徒弟，福道士、祖師、鱖少卿、 八戒、沙僧、鯉龍
"
294,行者道：「老孫保護唐僧至此，欲拿邪魔，奈何那太子打獵無物，不敢回朝；問汝等討個人情，快將獐𤜱鹿兔，走獸飛禽，各尋些來，打發他回去。」,行者道山神、土地,"行者道三藏、八戒、沙僧、鹿兩個勾正官、摩星、馬、流臣
"
295,行者下來，與三藏、八戒、沙僧立在殿前，見那道士在滾油鍋裏打掙，爬不出來。,八戒見羊力大仙,"行者見道士、八戒、沙僧、掙三藏、滾油鍋見羊力大仙、仙童
"
296,三藏道：「正是！正是！」,三藏道行者,"三藏道行者、八戒、悟淨、沙僧、配、馬、鄧天君、雷公、電母
"
297,他展開翅，飛將去，趕上巴山虎，釘在他身上。,行者釘巴山虎,"孫悟空釘在三藏、行者、 八戒、沙僧、馬、鱖山虎、陀、鿊趕
"
298,三藏道：「此物何如？」,三藏道皇帝,"三藏道行者、八戒、沙僧、馬、長老、鯉太子、酧天君、雷公、電母
"
299,早驚動滿山怪獸，都是些狼、蟲、虎、豹、麖、麂、獐、𤜱、狐、狸、獾、狢、獅、象、狻猊、猩猩、熊、鹿、野豕、山牛、羚羊、青兕、狡兒、神獒……各樣妖王，共有七十二洞，都來參拜猴王為尊。,妖王參拜孫悟空,"魏徵丞相早驚動滿山怪牛、羚羊、青兕、狢、獅、象、狐、狸、��命猛虎
"
300,如來即喚阿儺、迦葉二尊者相隨，離了雷音，徑至靈霄門外。,如來佛祖喚阿儺、迦葉,"如來佛祖喚阿儺、迦葉相隨孫悟空、徑至靈霄門外
"
301,那皇帝即轉後宮，把御花園裏仙桃樹上結得一個大桃子——有碗來大小——摘下，放在櫃內，又抬下叫猜。,國王叫三藏、鹿力大仙,"皇帝叫猜三藏、行者、 八戒、沙僧、馬、鱖小道士、齊御花仙桃樹上
"
302,拜畢，太宗正色強言道：「賢卿，寡人十九歲領兵，南征北伐，東攩西除，苦歷數載，更不曾見半點邪祟，今日卻反見鬼！」,唐王道徐茂功、護國公、尉遲,"唐太宗正色強言道玉皇大帝、徐茂功、護三藏、 八戒、沙僧
"
303,行者急閃身，立在菩薩後面，叫：「念咒！念咒！」,行者叫菩薩,"行者叫菩薩、蕭瑀、張道士、齊天府仙吏、酧天君、醭秀、鱖將
"
304,沙僧道：「二哥，你和我一般，拙口鈍腮，不要惹大哥熱擦。且只捱肩磨擔，終須有日成功也。」,沙僧道八戒,"沙僧道行者、八戒、悟淨、揭諦神眾、翊諸天與守山大神、神、善財童子
"
305,那怪物因來赴會，不曾帶得兵器，空手在雲端裏問道：「你是那方和尚，到此欺人，破了我的香火，壞了我的名聲！」,怪物問道行者、八戒,"怪物問道兩班文武臣、無邊菩薩、磕頂大小姐、木叉、善財童子
"
306,那婦人道：「女婿，你師兄說今朝是天恩上吉日，就教你招進來了；卻只是倉卒間，不曾請得個陰陽，拜堂撒帳，你可朝上拜八拜兒罷。」,婦人道八戒,"婦人道三藏、行者、 八戒、沙僧、陀、馬、阿翊聖真君、鱖少年
"
307,菩薩道：「此山叫做甚麼山？」,菩薩道妖魔,"菩薩道行者、八戒、沙僧、鱖婆、鬼、魅、張道揭諦神祖師
"
308,行者道：「我拿你甚麼寶貝，你問我要？」,行者道銀角,"行者道八戒、沙僧、三藏、馬、鹿力大仙、長老、鯉太上老君、玉帝
"
309,沙僧道：「若教我老沙，也只消縱雲躧水，頃刻而過。」,沙僧道八戒,"沙僧道行者、八戒、悟淨、揭母、三藏、馬、魅星、鹿力大仙
"
310,菩薩道：「也不曾害人。自他到後，這三年間，風調雨順，國泰民安，何害人之有？」,文殊菩薩道行者,"菩薩道行者、八戒、沙僧、摩昂、雨順，雨母、馬、魏徵丞相
"
311,被行者輪起鐵棒，望那怪著頭一下，那怪急轉身，慌忙躲過，徑鑽入流沙河裏。,行者棒打妖精,"行者輪公主、沙悟淨、鱖婆、奎星、巴山虎、倚海龍著頭一下、齊天府仙吏道士
"
312,卻說那仙童罵彀多時，清風道：「明月，這些和尚也受得氣哩，我們就像罵雞一般，罵了這半會，通沒個招聲。想必他不曾偷喫。倘或樹高葉密，數得不明，不要枉罵了他。我和你再去查查。」,清風道明月,"七衣仙童道土地、山神、 八戒、沙僧、鱖神、長老君、鯉天府仙吏
"
313,祖師聞言，咄的一聲，跳下高臺，手持戒尺，指定悟空道：「你這猢猻，這般不學，那般不學，卻待怎麼？」,菩提祖師道孫悟空,"跳下高臺道孫悟空、道菩提祖師、木叉、善財童子、捧珠龍女
"
314,水蛇跳一跳，又變做一隻花鴇，木木樗樗的，立在蓼汀之上。,二郎真君打孫悟空,"水蛇跳猛虎、倚海龍花鴇紅孩兒、雷公、電母、鹿力大仙
"
315,連呼了三聲，忽見叢雜中跳出一個石猴，應聲高叫道：「我進去！我進去！」,石猴應聲高叫眾猴,"孫悟空叫道三藏、行者、 八戒、沙僧、馬、長老、鯉聲、高叫大仙
"
316,伶俐蟲道：「哥啊，神仙也會打誑語。他說換了寶貝，度我等成仙，怎麼不辭就去了？」,伶俐蟲道精細鬼,"伶俐蟲道孫悟空、秦瓊哥啊唐王、 崔玨、 八戒、捧珠龍女
"
317,與那九曜星、五方將、二十八宿、四大天王、十二元辰、五方五老、普天星相、河漢群神，俱只以弟兄相待，彼此稱呼。,孫悟空弟兄相待、彼此稱呼二十八宿,"孫悟空弟兄相待、彼此稱呼九曜星、五方將、二十八宿、四大天王
"
318,眾猴把他圍住，問道：「裏面怎麼樣？水有多深？」,眾猴圍住問道石猴,"眾猴問道孫悟空、秦瓊三藏、徐茂功、護圍住、尉道士、 八戒
"
319,正欲設法拯救八戒出來，只聽得妖王叫道：「六健將何在？」,紅孩兒叫道六怪,"妖王叫道行者、六健將何在八戒、沙僧、鱖將軍、黑漢、齊天府仙吏
"
320,張氏道：「放生好事，我心甚喜。」,張氏道光蕊,"張氏道李定、山神、土地與五方揭諦神眾阿羅、善財童子、捧珠龍女
"
321,行者道：「賢弟，這番我再不急性了，只讓你引他上來，我攔住河沿，不讓他回去，務要將他擒了。」,行者道八戒,"行者道三藏、八戒、沙僧、馬、鱖少年、酧天君、雷公、電母、鍧珠龍女
"
322,行者道：「我是孫行者的兄弟。聞說你拿了我家兄，卻來與你尋事的。」,行者道銀角,"行者道八戒、沙僧、三藏、馬、鹿力大仙、長老、鯉太上老君、 道婆
"
323,樵夫道：「你那閑時又不如我的閑時好也。亦有詩為證。詩曰：閑觀縹緲白雲飛，獨坐茅庵掩竹扉。無事訓兒開卷讀，有時對客把棋圍。喜來策杖歌芳徑，興到攜琴上翠微。草履麻縧粗布被，心寬強似著羅衣。」,李定道張稍,"樵子道行者、八戒、沙僧、雷公、電母、馬、鹿力大仙、铨君、長老
"
324,八戒道：「師父的凡胎肉骨，重似泰山，我這駕雲的，怎稱得起？須是你的觔斗方可。」,八戒道行者,"八戒道三藏、行者、沙僧、馬、長老、鯉財童子、佈霧郎、ro母、尉道士
"
325,龍王心中恐懼，又著鯾提督、鯉總兵抬出一柄畫捍方天戟。,東海龍王著鯾提督、鯉總兵,"龍王著鯉總兵抬出一柄畫捍方天戟唐王 、 崔玨、 八戒、沙僧
"
326,八戒寂寂道：「那裏有得？」,八戒道行者,"八戒道行者、沙僧、三藏、馬、鱖少年、鯉太子、鍧珠龍女道菩薩
"
327,太宗道：「病勢已入膏肓，命將危矣，如何保得？」,唐王道魏徵,"唐王 道崔玨、倚海龍道玄奘、徐茂功、巴山大神、無邊菩薩
"
328,八戒道：「他這裏有。那童子拿兩個與師父喫，那老和尚不認得，道是三朝未滿的孩兒，不曾敢喫。那童子老大憊懶，師父既不喫，便該讓我們，他就瞞著我們，才自在這隔壁房裏，一家一個，嘓啅嘓啅的喫了出去，就急得我口裏水泱。——怎麼得一個兒嘗新？我想你有些溜撒，去他那園子裏偷幾個來嘗嘗，如何？」,八戒道行者,"八戒道三藏、行者、沙僧、馬、鱖婆、鯉太子、鍧珠龍女道菩薩
"
329,你思量，那猴子好不溜撒，把那寶貝一口吸在肚裏，那妖魔揝著拳頭就打，被行者一手隔住，把臉抹了一抹，現出本相，道聲「妖怪！不要無禮！你且認認看！我是誰？」,老妖打行者,"妖魔揝著三藏、行者、八戒、沙僧、馬、鱖少年打孫悟空、頭就打魔王
"
330,扢迸迸，鋼牙錯嚙；滴流流，火眼睜圓；掣鐵棒喝道：「你有多大手段，敢說這等大話！休走！看棍！」,行者喝道猛虎,"紅孩兒喝道行者、八戒、沙僧、鹿力大仙、鐵、鋼牙錯嚙、滴流流
"
331,那妖見沙僧說得雄壯，遂丟了刀，雙手抱起公主道：「我一時粗鹵，多有沖撞，莫怪，莫怪。」,老妖抱起道公主,"妖精道公主、沙僧、六公、雙手抱行者、電母、鹿力大仙、土地、哪吒
"
332,八戒當頭領路，沙僧後隨，出了那松林，上了大路。,八戒領沙僧、三藏 ,"八戒領路沙僧、兩個勾死人、摩昂、勾孫悟淨、漢翊揭諦神
"
333,那怪舉杖當面高叫道：「那和尚！那裏走！仔細看打！」,妖精高叫道八戒,"怪物高叫道黑漢精細鬼、伶俐蟲、徐臣、徒弟，鱖少年、鯉太子
"
334,行者立飲他一盞香茶，別了老龍，隨與摩昂領兵，離了西海。,行者別了龍王,"行者別了老龍、摩昂領兵、離了西海三藏、沙僧、香茶、鹿力大仙
"
335,一齊上前亂嚷道：「這和尚無禮！你的東西全然沒有，轉來和我等要分東西！」,六個人亂嚷道孫悟空,"齊上前亂嚷道太上老君、徒弟，禮道行者、祿星、教僧、倚海龍
"
336,八戒道：「那猴子不禁跌，一跌就跌化了。兄弟，莫管他死活，我和你且去尋師父去。」,八戒道沙僧,"八戒道三藏、行者、沙僧、馬、鄧天君、雷公、電母、鯉太子、長老君
"
337,三藏復問道：「老施主，始初說西天經難取者，何也？」,三藏問道老者,"三藏問道太上老君、徒星、蕭瑀、張道源著秦廣王、鄧天府仙吏、酧天師
"
338,三藏見他發怒，只得者者謙謙，叫道：「悟空，你在這裏罷。」,三藏叫道行者,"三藏叫道行者、八戒、沙僧、鹿力大仙、齊天府仙吏、長老道小道士
"
339,行者向前攔住道：「先生那裏去？」,行者攔住道大仙,"孫悟空攔住道三藏、行者、 八戒、沙僧、鱖婆、馬、長老
"
340,表曰：「西域之法，無君臣父子，以三塗六道，蒙誘愚蠢；追既往之罪，窺將來之福；口誦梵言，以圖偷免。且生死壽夭，本諸自然；刑德威福，係之人主。今聞俗徒，矯託皆云由佛。自五帝、三王，未有佛法；君明臣忠，年祚長久。至漢明帝始立胡神，然惟西域桑門，自傳其教。實乃夷犯中國，不足為信。」,傅奕表曰唐王,"行者曰八戒、沙僧、馬、流、西、奔、巴、齊天府仙吏道猛虎、倚海龍
"
341,那獃子聽見來請，對沙僧道：「兄弟，你還不教下書哩。這纔見了下書的好處。想是師父下了書，國王道：捎書人不可怠慢，一定整治筵宴待他；他的食腸不濟，有你我之心，舉出名來，故此著金牌來請。大家喫一頓，明日好行。」,八戒道沙僧,"八戒道沙僧、三藏、行者、書的道士、摩昂、馬、流、佈阿翊聽見來請士
"
342,行者道：「師父放心，等老孫去問他一個端的。」,行者道三藏,"行者道三藏、八戒、沙僧、馬、長老、鎮元大仙、鯉太上老君、酧天君
"
343,行者笑道：「老官兒，憑你怎麼打，只要記得杖數明白。一杖一升米，慢慢量來。」,行者笑道老者,"行者笑道三藏、八戒、沙僧、鹿力大仙、齊天府仙吏、高打士、鯉太宰
"
344,行者與八戒那裏肯捨，趕著那虎，定要除根。,行者趕猛虎,"行者趕著八戒、沙僧、除述三藏、鹿力大仙、長老、鯉老陿君
"
345,行者道：「我的袈裟，在直北觀音院後方丈裏放著；只因那院裏失了火，你這廝，趁鬨擄掠，盜了來，要做『佛衣會』慶壽，怎敢抵賴？快快還我，饒你性命！若牙迸半個『不』字，我推倒了黑風山，躧平了黑風洞，把你這一洞妖邪，都碾為虀粉！」,孫悟空道黑風王,"行者道八戒、沙僧、三藏、馬、鹿力大仙、長老、徒弟、鯉財童子、獨
"
346,那怪聞言，不容分說，輪開一隻簸箕大小的藍靛手，抓住那金枝玉葉的髮萬根，把公主揪上前，捽在地下，執著鋼刀，卻來審沙僧；咄的一聲道：「沙和尚！你兩個輒敢擅打上我們門來，可是這女子有書到他那國，國王教你們來的？」,老妖揪公主,"怪物抓住髮萬根、捽在地下、執著鋼刀藍靛手孫悟空
"
347,小龍道：「我不曾問你是那裏來的潑魔？你嚷道：『管甚麼那裏不那裏！只還我馬來！』何曾說出半個『唐』字！」,龍道孫悟空,"小龍王道八戒、沙僧、馬、鱖婆、魅風、鯉太尉、酧天君、雷將軍
"
348,妖王道：「罷！罷！罷！讓他走罷了！我喫他這一場虧也！且關了門，莫與他打話，只來刷洗唐僧，蒸喫便罷。」,妖王道小妖,"妖王道三藏、行者、八戒、沙僧、馬、長老、酧天君、鹿力大仙、道士、阿猴
"
349,怎知孫大聖已一一盡知，他轉翅飛來，現了本相，先見唐僧道：「師父，悟能牽馬來了。」,行者道行者,"妖精道三藏、行者、八戒、沙僧、馬、鹿力大仙、齊天府仙吏、長老君
"
350,鼉龍進禮道：「小弟今早有簡帖拜請舅爺，想是舅爺見棄，著表兄來的，兄長既來赴席，如何又勞師動眾？不入水府，札營在此，又貫甲提兵，何也？」,鼉龍道太子,"鼉龍進禮道小龍王、從者、 八戒、沙僧、馬、鱖少卿、鯉太宰、長老
"
351,纔問：「老施主，高姓？」,三藏問老者,"纔問老者、八戒、沙僧、高姓行者、鱖婆、鯉太宰、長老君
"
352,只見那把門的小妖，正打鼾睡，行者往他臉上叮了一口，那小妖翻身醒了。,行者叮小妖,"小妖頭瑀鼾睡行者、八戒、沙僧、鼉龍、馬、齊天府仙吏、酧天君
"
353,三藏叫道：「悟空，你馱罷。」,三藏叫道行者,"三藏叫道孫悟空、八戒、沙僧、馬、長老、酧天君、鿊天府仙吏
"
354,那娘娘強整歡容，叫聲「孩兒，喜呀！喜呀！這二三年在前殿與你父王開講，不得相見，我甚思量；今日如何得暇來看我一面？誠萬千之喜！誠萬千之喜！孩兒，你怎麼聲音悲慘？你父王年紀高邁，有一日龍歸碧海，鳳返丹霄，你就傳了帝位，還有甚麼不悅？」,娘娘叫聲太子,"媳婦叫道伯欽、三藏、行者、 八戒、沙僧、馬、長老禮道老婆
"
355,伯欽道：「你們出家人，偏有許多計較，喫飯便也念誦念誦。」,伯欽道三藏,"伯欽道三藏、行者、 八戒、沙僧、馬、長老、鯉太子、酧天君、鍧天師
"
356,——「你既認得，你快早走動，到老奶奶處，多多拜上，說請喫唐僧肉哩；就著帶幌金繩來，要拿孫行者。」,金角、銀角道巴山虎、倚海龍,"行者道三藏、八戒、沙僧、馬、長老、鎮元大仙、鯉太子、酊天府仙吏
"
357,喝道：「好妖怪，那裏走！你抬頭看看我是那個？」,行者喝道怪,"行者喝道妖精、八戒、沙僧、鱖婆、馬、鬼、魅、鹿力大仙、長老
"
358,太宗道：「你姓甚名誰？是何官職？」,唐王 道崔玨,"唐王 道崔玨、倚海龍道玄奘、巴山大神、木叉行者、善財童子、捧珠龍女
"
359,國王道：「這和尚是有鬼神輔佐！怎麼道士入櫃，就變做和尚？縱有待詔跟進去，也只剃得頭便了，如何衣服也能趁體，口裏又會念佛？——國師啊！讓他去罷！」,國王道虎力大仙,"國王道行者、八戒、沙僧、鬼神、酊天府仙吏、鱖少卿、鯉太宰卿大仙
"
360,那夜叉聽說，急轉水晶宮傳報道：「大王，外面有個花果山天生聖人孫悟空，口稱是大王緊鄰，將到宮也。」,夜叉報道東海龍王,"夜叉傳報道金角、齊天府仙吏、鎮元大仙、尉道行者、 八戒、沙僧
"
361,猴王聽說，滿心歡喜，朝上叩頭道：「好！好！好！今日方知姓也。萬望師父慈悲！既然有姓，再乞賜個名字，卻好呼喚。」,美猴王聽說菩提祖師,"孫悟空叩頭道眾猴、徒弟，徒道士、徐茂功、護土君、翊護三藏、尉道行者
"
362,那人道：「你是不知，我說與你聽：一個喚做眼看喜，一個喚做耳聽怒，一個喚做鼻嗅愛，一個喚作舌嘗思，一個喚作意見慾，一個喚作身本憂。」,那人道孫悟空,"皇帝道三藏、行者、 八戒、沙僧、馬、長老君、鯉太子、齊天府仙吏
"
363,行者道：「他是個潛靈作怪的僵尸，在此迷人敗本；被我打殺，他就現了本相。他那脊樑上有一行字，叫做『白骨夫人』。」,行者道三藏,"行者道三藏、八戒、沙僧、馬、鱖少卿、酧天師、鯉太子、雷公、電母
"
364,不知孫大聖坐得高，眼又乖滑，看得他明白。,行者看八戒,"行者看紅孩兒、八戒、沙僧、馬、魚白金星、鱖婆、鯉太官
"
365,那冤魂叩頭拜別，舉步相送，不知怎麼蹋了腳，跌了一個觔斗，把三藏驚醒，卻原來是南柯一夢。,皇帝叩頭拜別三藏,"冤魂叩頭拜別三藏、行者、 八戒、沙僧、馬、長老禮觔斗、驚道唐王
"
366,悟空叩頭謝了，洗耳用心，跪於榻下。,孫悟空磕頭菩提祖師,"孫悟空跪於榻下菩提祖師、木叉、善財童子、捧珠龍女
"
367,在那山凹裏，駕鷹牽犬，搭弩張弓，充作打圍的樣子，等候那六健將。,行者等候六健將,"山凹裏等候六健將、樣子、行者、八戒、沙僧、馬、駕鷹牽犬
"
368,唐王叫內官攙他下去。,唐王叫內官,"唐王攙仙下去崔玨、哪吒、 八戒、沙僧、鱖婆、魿力大仙
"
369,那怪聞言，呵呵冷笑道：「你這個潑物！原來昨夜那火就是你放的！你在那方丈屋上，行兇招風，是我把一件袈裟拿來了，你待怎麼！你是那裏來的？姓甚名誰？有多大手段，敢那等海口浪言！」,黑風王冷笑道孫悟空,"怪物冷笑道特處士、熊山君、黑魚白金星、銀角、鱖少卿君
"
370,虎力大仙道：「陛下，左右是『棋逢對手，將遇良材。』貧道將鍾南山幼時學的武藝，索性與他賭一賭。」,虎力大仙道國王,"虎力大仙道陛下、倚海龍道三藏、行者、 八戒、沙僧、馬、長老
"
371,那兩班校尉，就要動手，慌得唐僧合掌高呼：「陛下，且赦貧僧一時，待打開櫃看。端的是寶，貧僧領罪；如不是寶，卻不屈了貧僧也？」,三藏道國王,"唐僧合掌高呼玉皇大帝、徐茂功、道殷小姐、 八戒、濊天府仙吏
"
372,那人掙不脫手，氣得亂跳道：「蹭蹬！蹭蹬！家長的屈氣受不了，又撞著這個光頭，受他的清氣！」,少年道孫悟空,"皇帝道三藏、行者、 八戒、沙僧、馬、鱖婆、長老、酧天君、雷公、電母
"
373,那人倚定禪堂道：「師父，我不是妖魔鬼怪，亦不是魍魎邪神。」,皇帝道三藏,"皇帝禪堂道三藏、行者、 八戒、沙僧、魅風、鱖少年、長老
"
374,八戒道：「若是抬了去，還抬回來，兩頭抬到天明，我也不怕；只是抬到廟裏，就要喫哩，這個卻不是耍子！」,八戒道行者,"八戒道三藏、行者、沙僧、馬、長老、鯉太子、酧天明、鍧珠龍女
"
375,福星道：「大聖，此處無方，他處或有，怎麼就生煩惱？」,福星道行者,"福星道行者、八戒、沙僧、馬、鱖婆、酧天師、雷公、電母、鯉太宰
"
376,豬八戒忍不住呵呵大笑出來，把個小道士諕走了三魂，驚回了七魄，一步一跌，撞到那方丈外，打著門叫：「師公！不好了！禍事了！」,小道士叫老道士,"小道士打著門叫玄奘、奎星、巴山大神、木叉行者、善財童子、捧珠龍女
"
377,沙僧綽了寶杖，徑出松林來找八戒。,沙僧找八戒,"沙僧綽寶杖、徑出松林來找八戒、戒力大神、木叉行者、善財童子、捧珠龍女
"
378,好行者，嚶的一聲，飛在唐僧頭上，只見有豆粒大小一個臭蟲叮他師父。,行者飛在三藏,"行者叮三藏、八戒、沙僧、馬、鹿力大小一個臭蟲頭上老妖
"
379,沙僧見了，老大不忍，放下行李，上前解了繩索救下。,沙僧救八戒,"沙僧解了繩索救下孫悟空、秦瓊三藏、徒弟，道士、福星、祿星
"
380,漁人道：「離府十五里洪江內打來的。」,漁人道光蕊,"漁人道三藏、行者、 八戒、沙僧、馬、魅、鯉、流、奔、巴、長老君
"
381,菩薩道：「孫悟空，你怎麼不受教誨，不保唐僧，來此處何幹？」,菩薩道孫悟空,"菩薩道行者、八戒、沙僧、馬、魅、長老、鯉財童子、佈霧�
"
382,那怪道：「師父啊，我手腳都吊麻了，腰胯疼痛，一則是鄉下人家，不慣騎馬。」,妖精道三藏,"怪物道大小眷日、木叉行者、善財童子、捧珠龍女道黑魚秀士、鱖少卿
"
383,那怪也抹了一眼道：「師父，那些賊來打劫我家時，一個個都搽了花臉，帶假鬍子，拿刀弄杖的。我被他諕怕了，見這位晦氣臉的師父，一發沒了魂了，也不敢要他馱。」,妖精道三藏,"銀角道三藏、行者、 八戒、沙僧、馬、鹿力大仙、齊天府仙吏
"
384,這行者引唐僧站立在白玉階前，挺身不動。,行者引三藏,"行者引三藏、八戒、沙僧、馬、長老、鎮元大仙、鯉太子、酧天君
"
385,行者道：「不瞞菩薩說。平日拿得動，今日拿不動。想是喫了妖精虧，觔力弱了。」,行者道菩薩,"行者道八戒、沙僧、三藏、馬、鹿力大仙、長老、鯉太子、 道唐王
"
386,三藏問：「出朝作甚？」,三藏問皇帝,"三藏問老者、八戒、悟淨、沙僧、馬、鬼、魅、長老、鿊角
"
387,眾天丁知他受了仙籙，乃是個弼馬溫，不敢阻當，讓他打出天門去了。,眾天丁讓孫悟空,"眾天丁知仙籙孫悟空、弼馬溫打出天門去了二郎真君、張頂大仙
"
388,唐僧道：「猴頭！還有甚說話！出家人行善，如春園之草，不見其長，日有所增；行惡之人，如磨刀之石，不見其損，日有所虧。你在這荒郊野外，一連打死三人，還是無人檢舉，沒有對頭；倘到城市之中，人煙湊集之所，你拿了那哭喪棒，一時不知好歹，亂打起人來，撞出大禍，教我怎的脫身？你回去罷！」,三藏道行者,"三藏道行者、八戒、沙僧、馬、長老、配、鯛臣、鍿禮道老和尚
"
389,行者道：「你快取鑰匙來。」,行者道太公,"行者道八戒、沙僧、三藏、馬、鱖婆、鯉英宮仙女、配力大仙
"
390,那怪道：「只怕是謊。就裝與我們看看纔信；不然，決不信你。」,伶俐蟲道行者,"怪道行者、八戒、沙僧、鱖婆、黑魚精紅孫悟空、雷公、電母
"
391,唐僧舉步出門小解，只見明月當天，叫「徒弟。」,唐僧叫行者、八戒、沙僧,"三藏、行者、八戒、沙僧、馬、鹿力大仙叫摩明、光蕊、當天、倚海龍、雷公、電母
"
392,仙女道：「只有兩籃小桃，三籃中桃。至後面，大桃半個也無，想都是大聖偷喫了。及正尋間，不期大聖走將出來，行兇拷打，又問設宴請誰。我等把上會事說了一遍，他就定住我等，不知去向，只到如今，纔得醒解回來。」,七衣仙女道王母,"七衣仙女道土地、力士、齊天府仙吏、佈阿君、仙卿個勾死人道孫悟空
"
393,那龍王整衣冠，領眾水族，出門來厲聲高叫道：「天蓬元帥，請裏面坐。」,井龍王高叫道夜叉,"龍王高叫道門來佛祖、魏徵、蕭瑀、張道士道孫悟空、鯉太宰
"
