-DOCSTART- -X- -X- O
仕 _ _ O
晋 _ _ O
、 _ _ O
漢 _ _ O
、 _ _ O
周 _ _ O
〔 _ _ O
一 _ _ O
〕 _ _ O
。 _ _ O
而 _ _ O
皇 _ _ O
祖 _ _ O
晉 _ _ B-FF
公 _ _ I-FF
， _ _ O
益 _ _ O
以 _ _ O
文 _ _ O
章 _ _ O
有 _ _ O
大 _ _ O
名 _ _ O
， _ _ O
逮 _ _ O
事 _ _ O
太 _ _ O
祖 _ _ O
、 _ _ O
太 _ _ O
宗 _ _ O
， _ _ O
官 _ _ O
至 _ _ O
兵 _ _ O
部 _ _ O
侍 _ _ O
郎 _ _ O
。 _ _ O
當 _ _ O
真 _ _ O
宗 _ _ O
時 _ _ O
， _ _ O
伯 _ _ O
父 _ _ O
文 _ _ B-FB
正 _ _ I-FB
公 _ _ I-FB
居 _ _ O
中 _ _ O
書 _ _ O
二 _ _ O
十 _ _ O
餘 _ _ O
年 _ _ O
， _ _ O
天 _ _ O
下 _ _ O
稱 _ _ O
爲 _ _ O
賢 _ _ O
宰 _ _ O
相 _ _ O
。 _ _ O
娶 _ _ O
周 _ _ B-W1
氏 _ _ I-W1
， _ _ O
某 _ _ O
縣 _ _ O
君 _ _ O
， _ _ O
生 _ _ O
子 _ _ O
某 _ _ B-S
。 _ _ O
曾 _ _ O
祖 _ _ O
諱 _ _ O
某 _ _ O
， _ _ O
祖 _ _ O
諱 _ _ O
某 _ _ O
， _ _ O
皆 _ _ O
贈 _ _ O
太 _ _ O
師 _ _ O
、 _ _ O
尚 _ _ O
書 _ _ O
、 _ _ O
中 _ _ O
書 _ _ O
令 _ _ O
。 _ _ O
考 _ _ O
諱 _ _ O
某 _ _ O
， _ _ O
官 _ _ O
至 _ _ O
兵 _ _ O
部 _ _ O
郎 _ _ O
中 _ _ O
， _ _ O
有 _ _ O
賢 _ _ O
行 _ _ O
， _ _ O
贈 _ _ O
戶 _ _ O
部 _ _ O
尚 _ _ O
書 _ _ O
。 _ _ O
公 _ _ O
以 _ _ O
某 _ _ O
年 _ _ O
某 _ _ O
月 _ _ O
某 _ _ O
日 _ _ O
卒 _ _ O
於 _ _ O
陝 _ _ O
， _ _ O
某 _ _ O
年 _ _ O
某 _ _ O
月 _ _ O
某 _ _ O
日 _ _ O
葬 _ _ O
於 _ _ O
某 _ _ O
所 _ _ O
先 _ _ O
塋 _ _ O
之 _ _ O
次 _ _ O
。 _ _ O

皇 _ _ O
高 _ _ O
祖 _ _ O
翔 _ _ B-FFF
， _ _ O
當 _ _ O
五 _ _ O
代 _ _ O
時 _ _ O
， _ _ O
爲 _ _ O
王 _ _ O
建 _ _ O
掌 _ _ O
書 _ _ O
記 _ _ O
， _ _ O
建 _ _ O
欲 _ _ O
帝 _ _ O
蜀 _ _ O
， _ _ O
以 _ _ O
逆 _ _ O
順 _ _ O
禍 _ _ O
福 _ _ O
譬 _ _ O
之 _ _ O
， _ _ O
不 _ _ O
聽 _ _ O
， _ _ O
棄 _ _ O
官 _ _ O
於 _ _ O
閬 _ _ O
州 _ _ O
之 _ _ O
西 _ _ O
水 _ _ O
， _ _ O
遂 _ _ O
爲 _ _ O
西 _ _ O
水 _ _ O
人 _ _ O
。 _ _ O
皇 _ _ O
曾 _ _ O
祖 _ _ O
齊 _ _ O
國 _ _ O
公 _ _ O
諱 _ _ O
詡 _ _ B-FFF
， _ _ O
皇 _ _ O
祖 _ _ O
楚 _ _ O
國 _ _ O
公 _ _ O
諱 _ _ O
昭 _ _ O
汶 _ _ B-FF
， _ _ O
皇 _ _ O
考 _ _ O
秦 _ _ O
國 _ _ O
公 _ _ O
諱 _ _ O
省 _ _ B-F
華 _ _ I-F
， _ _ O
皆 _ _ O
開 _ _ O
府 _ _ O
儀 _ _ O
同 _ _ O
三 _ _ O
司 _ _ O
、 _ _ O
太 _ _ O
師 _ _ O
、 _ _ O
尚 _ _ O
書 _ _ O
令 _ _ O
兼 _ _ O
中 _ _ O
書 _ _ O
令 _ _ O
。 _ _ O
自 _ _ O
翔 _ _ O
已 _ _ O
下 _ _ O
， _ _ O
三 _ _ O
世 _ _ O
不 _ _ O
顯 _ _ O
於 _ _ O
蜀 _ _ O
。 _ _ O
至 _ _ O
秦 _ _ O
公 _ _ O
， _ _ O
始 _ _ O
事 _ _ O
聖 _ _ O
朝 _ _ O
， _ _ O
爲 _ _ O
左 _ _ O
諫 _ _ O
議 _ _ O
大 _ _ O
夫 _ _ O
。 _ _ O
其 _ _ O
配 _ _ O
曰 _ _ O
燕 _ _ O
國 _ _ O
太 _ _ O
夫 _ _ O
人 _ _ O
馮 _ _ B-WF
氏 _ _ I-WF
。 _ _ O
公 _ _ O
其 _ _ O
次 _ _ O
子 _ _ O
也 _ _ O
， _ _ O
諱 _ _ O
堯 _ _ O
佐 _ _ O
， _ _ O
字 _ _ O
希 _ _ O
元 _ _ O
。 _ _ O
公 _ _ O
前 _ _ O
娶 _ _ O
曰 _ _ O
杞 _ _ O
國 _ _ O
夫 _ _ O
人 _ _ O
宋 _ _ B-W1
氏 _ _ I-W1
， _ _ O
後 _ _ O
娶 _ _ O
曰 _ _ O
沂 _ _ O
國 _ _ O
夫 _ _ O
人 _ _ O
王 _ _ B-W2
氏 _ _ I-W2
。 _ _ O
子 _ _ O
男 _ _ O
十 _ _ O
人 _ _ O
： _ _ O
長 _ _ O
曰 _ _ O
述 _ _ B-S
古 _ _ I-S
， _ _ O
次 _ _ O
曰 _ _ O
比 _ _ O
部 _ _ O
員 _ _ O
外 _ _ O
郎 _ _ O
求 _ _ B-S
古 _ _ I-S
， _ _ O
主 _ _ O
客 _ _ O
員 _ _ O
外 _ _ O
郎 _ _ O
學 _ _ B-S
古 _ _ I-S
， _ _ O
虞 _ _ O
部 _ _ O
員 _ _ O
外 _ _ O
郎 _ _ O
道 _ _ B-S
古 _ _ I-S
， _ _ O
大 _ _ O
理 _ _ O
評 _ _ O
事 _ _ O
、 _ _ O
館 _ _ O
閣 _ _ O
校 _ _ O
勘 _ _ O
博 _ _ B-S
古 _ _ I-S
， _ _ O
殿 _ _ O
中 _ _ O
丞 _ _ O
修 _ _ B-S
古 _ _ I-S
， _ _ O
秘 _ _ O
書 _ _ O
省 _ _ O
正 _ _ O
字 _ _ O
履 _ _ B-S
古 _ _ I-S
， _ _ O
光 _ _ O
祿 _ _ O
寺 _ _ O
丞 _ _ O
游 _ _ B-S
古 _ _ I-S
， _ _ O
大 _ _ O
理 _ _ O
寺 _ _ O
丞 _ _ O
襲 _ _ B-S
古 _ _ I-S
， _ _ O
太 _ _ O
常 _ _ O
寺 _ _ O
太 _ _ O
祝 _ _ O
象 _ _ B-S
古 _ _ I-S
。 _ _ O
秦 _ _ O
公 _ _ O
三 _ _ O
子 _ _ O
。 _ _ O
長 _ _ O
曰 _ _ O
堯 _ _ B-B
叟 _ _ I-B
， _ _ O
爲 _ _ O
樞 _ _ O
密 _ _ O
使 _ _ O
、 _ _ O
同 _ _ O
中 _ _ O
書 _ _ O
門 _ _ O
下 _ _ O
平 _ _ O
章 _ _ O
事 _ _ O
。 _ _ O
季 _ _ O
曰 _ _ O
堯 _ _ B-B
咨 _ _ I-B
， _ _ O
爲 _ _ O
武 _ _ O
信 _ _ O
軍 _ _ O
節 _ _ O
度 _ _ O
使 _ _ O
。 _ _ O
皆 _ _ O
舉 _ _ O
進 _ _ O
士 _ _ O
第 _ _ O
一 _ _ O
人 _ _ O
及 _ _ O
第 _ _ O
。 _ _ O
公 _ _ O
之 _ _ O
孫 _ _ O
四 _ _ O
十 _ _ O
人 _ _ O
， _ _ O
曾 _ _ O
孫 _ _ O
二 _ _ O
人 _ _ O
。 _ _ O
合 _ _ O
伯 _ _ O
、 _ _ O
季 _ _ O
之 _ _ O
後 _ _ O
， _ _ O
若 _ _ O
子 _ _ O
、 _ _ O
若 _ _ O
孫 _ _ O
、 _ _ O
若 _ _ O
曾 _ _ O
孫 _ _ O
六 _ _ O
十 _ _ O
有 _ _ O
八 _ _ O
人 _ _ O
。 _ _ O
女 _ _ O
若 _ _ O
孫 _ _ O
、 _ _ O
曾 _ _ O
五 _ _ O
十 _ _ O
有 _ _ O
四 _ _ O
人 _ _ O
。 _ _ O

公 _ _ O
諱 _ _ O
象 _ _ O
， _ _ O
字 _ _ O
某 _ _ O
。 _ _ O
曾 _ _ O
祖 _ _ O
諱 _ _ O
某 _ _ O
， _ _ O
某 _ _ O
官 _ _ O
。 _ _ O
祖 _ _ O
諱 _ _ O
某 _ _ O
， _ _ O
某 _ _ O
官 _ _ O
。 _ _ O
考 _ _ O
諱 _ _ O
某 _ _ O
， _ _ O
某 _ _ O
官 _ _ O
。 _ _ O
公 _ _ O
娶 _ _ O
孫 _ _ B-W1
氏 _ _ I-W1
， _ _ O
封 _ _ O
富 _ _ O
春 _ _ O
縣 _ _ O
君 _ _ O
， _ _ O
用 _ _ O
子 _ _ O
貴 _ _ O
， _ _ O
追 _ _ O
封 _ _ O
泗 _ _ O
水 _ _ O
縣 _ _ O
太 _ _ O
君 _ _ O
。 _ _ O
子 _ _ O
男 _ _ O
三 _ _ O
人 _ _ O
： _ _ O
長 _ _ O
曰 _ _ O
某 _ _ O
， _ _ O
某 _ _ O
官 _ _ O
； _ _ O
次 _ _ O
曰 _ _ O
某 _ _ O
， _ _ O
某 _ _ O
官 _ _ O
； _ _ O
次 _ _ O
曰 _ _ O
某 _ _ O
， _ _ O
某 _ _ O
官 _ _ O
。 _ _ O
女 _ _ O
三 _ _ O
人 _ _ O
， _ _ O
皆 _ _ O
適 _ _ O
士 _ _ O
族 _ _ O
。 _ _ O
孫 _ _ O
五 _ _ O
人 _ _ O
， _ _ O
一 _ _ O
早 _ _ O
亡 _ _ O
， _ _ O
次 _ _ O
皆 _ _ O
已 _ _ O
仕 _ _ O
。 _ _ O
曾 _ _ O
孫 _ _ O
十 _ _ O
人 _ _ O
， _ _ O
仕 _ _ O
者 _ _ O
五 _ _ O
人 _ _ O
。 _ _ O

公 _ _ O
娶 _ _ O
宋 _ _ B-W1
氏 _ _ I-W1
， _ _ O
武 _ _ O
勝 _ _ O
軍 _ _ O
節 _ _ O
度 _ _ O
使 _ _ O
延 _ _ O
渥 _ _ O
之 _ _ O
女 _ _ O
， _ _ O
初 _ _ O
爲 _ _ O
安 _ _ O
定 _ _ O
郡 _ _ O
夫 _ _ O
人 _ _ O
， _ _ O
追 _ _ O
封 _ _ O
榮 _ _ O
國 _ _ O
公 _ _ O
夫 _ _ O
人 _ _ O
。 _ _ O
五 _ _ O
男 _ _ O
， _ _ O
四 _ _ O
女 _ _ O
。 _ _ O
男 _ _ O
曰 _ _ O
咸 _ _ B-S
熙 _ _ I-S
， _ _ O
東 _ _ O
頭 _ _ O
供 _ _ O
奉 _ _ O
官 _ _ O
， _ _ O
蚤 _ _ O
卒 _ _ O
； _ _ O
次 _ _ O
曰 _ _ O
咸 _ _ B-S
融 _ _ I-S
， _ _ O
西 _ _ O
京 _ _ O
左 _ _ O
藏 _ _ O
庫 _ _ O
使 _ _ O
、 _ _ O
果 _ _ O
州 _ _ O
團 _ _ O
練 _ _ O
使 _ _ O
； _ _ O
次 _ _ O
曰 _ _ O
咸 _ _ B-S
庶 _ _ I-S
， _ _ O
內 _ _ O
殿 _ _ O
崇 _ _ O
班 _ _ O
， _ _ O
早 _ _ O
卒 _ _ O
； _ _ O
次 _ _ O
曰 _ _ O
咸 _ _ B-S
英 _ _ I-S
， _ _ O
供 _ _ O
備 _ _ O
庫 _ _ O
副 _ _ O
使 _ _ O
； _ _ O
次 _ _ O
曰 _ _ O
咸 _ _ B-S
康 _ _ I-S
， _ _ O
內 _ _ O
殿 _ _ O
承 _ _ O
制 _ _ O
。 _ _ O

公 _ _ O
諱 _ _ O
若 _ _ O
訥 _ _ O
， _ _ O
字 _ _ O
敏 _ _ O
之 _ _ O
。 _ _ O
其 _ _ O
始 _ _ O
齊 _ _ O
之 _ _ O
公 _ _ O
族 _ _ O
， _ _ O
於 _ _ O
春 _ _ O
秋 _ _ O
時 _ _ O
甚 _ _ O
顯 _ _ O
。 _ _ O
逮 _ _ O
漢 _ _ O
而 _ _ O
後 _ _ O
， _ _ O
名 _ _ O
德 _ _ O
軒 _ _ O
冕 _ _ O
， _ _ O
赫 _ _ O
奕 _ _ O
相 _ _ O
望 _ _ O
。 _ _ O
從 _ _ O
仕 _ _ O
屢 _ _ O
遷 _ _ O
， _ _ O
今 _ _ O
爲 _ _ O
太 _ _ O
原 _ _ O
榆 _ _ O
次 _ _ O
人 _ _ O
。 _ _ O
曾 _ _ O
祖 _ _ O
諱 _ _ O
某 _ _ B-FFF
， _ _ O
贈 _ _ O
太 _ _ O
師 _ _ O
。 _ _ O
王 _ _ O
父 _ _ O
諱 _ _ O
某 _ _ B-FF
， _ _ O
仕 _ _ O
崇 _ _ O
儀 _ _ O
使 _ _ O
。 _ _ O
考 _ _ O
諱 _ _ O
某 _ _ B-F
， _ _ O
仕 _ _ O
右 _ _ O
侍 _ _ O
禁 _ _ O
。 _ _ O
并 _ _ O
贈 _ _ O
太 _ _ O
師 _ _ O
、 _ _ O
中 _ _ O
書 _ _ O
令 _ _ O
兼 _ _ O
尚 _ _ O
書 _ _ O
令 _ _ O
〔 _ _ O
二 _ _ O
〕 _ _ O
， _ _ O
考 _ _ O
封 _ _ O
祁 _ _ O
國 _ _ O
公 _ _ O
。 _ _ O
曾 _ _ O
妣 _ _ O
王 _ _ B-WFFF
夫 _ _ I-WFFF
人 _ _ I-WFFF
， _ _ O
祖 _ _ O
妣 _ _ O
馬 _ _ B-WFF
夫 _ _ I-WFF
人 _ _ I-WFF
， _ _ O
妣 _ _ O
閻 _ _ B-WF
夫 _ _ I-WF
人 _ _ I-WF
， _ _ O
封 _ _ O
魏 _ _ O
、 _ _ O
晉 _ _ O
、 _ _ O
秦 _ _ O
三 _ _ O
大 _ _ O
國 _ _ O
， _ _ O
悉 _ _ O
用 _ _ O
公 _ _ O
貴 _ _ O
而 _ _ O
追 _ _ O
錫 _ _ O
命 _ _ O
也 _ _ O
。 _ _ O
太 _ _ O
師 _ _ O
藏 _ _ O
器 _ _ O
弗 _ _ O
輝 _ _ O
， _ _ O
天 _ _ O
爵 _ _ O
自 _ _ O
高 _ _ O
。 _ _ O
二 _ _ O
令 _ _ O
君 _ _ O
雖 _ _ O
起 _ _ O
家 _ _ O
登 _ _ O
仕 _ _ O
， _ _ O
而 _ _ O
位 _ _ O
不 _ _ O
充 _ _ O
量 _ _ O
。 _ _ O
濟 _ _ O
美 _ _ O
載 _ _ O
德 _ _ O
， _ _ O
貽 _ _ O
謀 _ _ O
積 _ _ O
慶 _ _ O
， _ _ O
必 _ _ O
復 _ _ O
其 _ _ O
始 _ _ O
， _ _ O
至 _ _ O
公 _ _ O
嗣 _ _ O
興 _ _ O
。 _ _ O
嗣 _ _ O
子 _ _ O
彥 _ _ B-S
輔 _ _ I-S
， _ _ O
內 _ _ O
殿 _ _ O
崇 _ _ O
班 _ _ O
。 _ _ O
次 _ _ O
保 _ _ B-S
衡 _ _ I-S
、 _ _ O
安 _ _ B-S
石 _ _ I-S
、 _ _ O
吉 _ _ B-S
甫 _ _ I-S
， _ _ O
光 _ _ O
祿 _ _ O
寺 _ _ O
丞 _ _ O
， _ _ O
元 _ _ B-S
規 _ _ I-S
， _ _ O
大 _ _ O
理 _ _ O
評 _ _ O
事 _ _ O
， _ _ O
皆 _ _ O
脩 _ _ O
謹 _ _ O
篤 _ _ O
學 _ _ O
， _ _ O
能 _ _ O
世 _ _ O
其 _ _ O
家 _ _ O
。 _ _ O
長 _ _ O
女 _ _ O
適 _ _ O
游 _ _ B-DH
奎 _ _ I-DH
， _ _ O
次 _ _ O
適 _ _ O
祠 _ _ O
部 _ _ O
郎 _ _ O
中 _ _ O
、 _ _ O
秘 _ _ O
閣 _ _ O
校 _ _ O
理 _ _ O
林 _ _ B-DH
億 _ _ I-DH
〔 _ _ O
一 _ _ O
〇 _ _ O
〕 _ _ O
， _ _ O
次 _ _ O
適 _ _ O
太 _ _ O
常 _ _ O
博 _ _ O
士 _ _ O
張 _ _ B-DH
誼 _ _ I-DH
， _ _ O
次 _ _ O
適 _ _ O
王 _ _ O
宗 _ _ B-DH
誥 _ _ I-DH
。 _ _ O

四 _ _ O
代 _ _ O
祖 _ _ O
曰 _ _ O
硋 _ _ B-G-n
賓 _ _ I-G-n
， _ _ O
事 _ _ O
唐 _ _ O
僖 _ _ O
宗 _ _ O
， _ _ O
為 _ _ O
鎮 _ _ O
、 _ _ O
冀 _ _ O
、 _ _ O
深 _ _ O
、 _ _ O
趙 _ _ O
等 _ _ O
州 _ _ O
節 _ _ O
度 _ _ O
判 _ _ O
官 _ _ O
， _ _ O
檢 _ _ O
校 _ _ O
太 _ _ O
子 _ _ O
左 _ _ O
庶 _ _ O
子 _ _ O
， _ _ O
兼 _ _ O
御 _ _ O
史 _ _ O
中 _ _ O
丞 _ _ O
。 _ _ O
時 _ _ O
巢 _ _ O
寇 _ _ O
亂 _ _ O
中 _ _ O
原 _ _ O
， _ _ O
其 _ _ O
帥 _ _ O
王 _ _ O
景 _ _ O
崇 _ _ O
檄 _ _ O
諸 _ _ O
鎮 _ _ O
兵 _ _ O
大 _ _ O
破 _ _ O
之 _ _ O
， _ _ O
謀 _ _ O
皆 _ _ O
出 _ _ O
於 _ _ O
庶 _ _ O
子 _ _ O
。 _ _ O
庶 _ _ O
子 _ _ O
生 _ _ O
二 _ _ O
子 _ _ O
， _ _ O
其 _ _ O
季 _ _ O
曰 _ _ O
昌 _ _ B-FFF
辭 _ _ I-FFF
， _ _ O
於 _ _ O
公 _ _ O
為 _ _ O
曾 _ _ O
王 _ _ O
父 _ _ O
， _ _ O
終 _ _ O
於 _ _ O
真 _ _ O
定 _ _ O
府 _ _ O
鼓 _ _ O
城 _ _ O
令 _ _ O
。 _ _ O
鼓 _ _ O
城 _ _ O
生 _ _ O
趚 _ _ B-FF
， _ _ O
為 _ _ O
王 _ _ O
父 _ _ O
， _ _ O
少 _ _ O
自 _ _ O
力 _ _ O
學 _ _ O
， _ _ O
工 _ _ O
為 _ _ O
歌 _ _ O
詩 _ _ O
， _ _ O
與 _ _ O
晉 _ _ O
人 _ _ O
李 _ _ O
崧 _ _ O
、 _ _ O
徐 _ _ O
台 _ _ O
符 _ _ O
深 _ _ O
相 _ _ O
善 _ _ O
， _ _ O
名 _ _ O
重 _ _ O
一 _ _ O
時 _ _ O
， _ _ O
任 _ _ O
廣 _ _ O
晉 _ _ O
府 _ _ O
永 _ _ O
濟 _ _ O
令 _ _ O
。 _ _ O
避 _ _ O
亂 _ _ O
， _ _ O
又 _ _ O
徙 _ _ O
居 _ _ O
趙 _ _ O
郡 _ _ O
之 _ _ O
贊 _ _ O
皇 _ _ O
。 _ _ O
台 _ _ O
符 _ _ O
為 _ _ O
作 _ _ O
詩 _ _ O
， _ _ O
哀 _ _ O
其 _ _ O
不 _ _ O
達 _ _ O
而 _ _ O
終 _ _ O
， _ _ O
其 _ _ O
詩 _ _ O
甚 _ _ O
悲 _ _ O
。 _ _ O
崧 _ _ O
乃 _ _ O
以 _ _ O
其 _ _ O
弟 _ _ O
之 _ _ O
女 _ _ O
妻 _ _ O
其 _ _ O
子 _ _ O
構 _ _ O
， _ _ O
即 _ _ O
公 _ _ O
之 _ _ O
考 _ _ O
妣 _ _ O
也 _ _ O
。 _ _ O
考 _ _ O
始 _ _ O
居 _ _ O
於 _ _ O
相 _ _ O
， _ _ O
以 _ _ O
文 _ _ O
章 _ _ O
稱 _ _ O
， _ _ O
尤 _ _ O
妙 _ _ O
書 _ _ O
奏 _ _ O
。 _ _ O
諸 _ _ O
侯 _ _ O
府 _ _ O
爭 _ _ O
辟 _ _ O
之 _ _ O
， _ _ O
能 _ _ O
致 _ _ O
之 _ _ O
者 _ _ O
， _ _ O
即 _ _ O
一 _ _ O
府 _ _ O
遂 _ _ O
治 _ _ O
。 _ _ O
嘗 _ _ O
宰 _ _ O
貝 _ _ O
州 _ _ O
之 _ _ O
清 _ _ O
河 _ _ O
， _ _ O
始 _ _ O
至 _ _ O
， _ _ O
與 _ _ O
民 _ _ O
約 _ _ O
曰 _ _ O
： _ _ O
‘ _ _ O
屈 _ _ O
法 _ _ O
擾 _ _ O
人 _ _ O
等 _ _ O
事 _ _ O
， _ _ O
吾 _ _ O
斷 _ _ O
腕 _ _ O
不 _ _ O
為 _ _ O
， _ _ O
惟 _ _ O
惠 _ _ O
利 _ _ O
者 _ _ O
為 _ _ O
若 _ _ O
力 _ _ O
之 _ _ O
。 _ _ O
’ _ _ O
民 _ _ O
於 _ _ O
是 _ _ O
大 _ _ O
說 _ _ O
， _ _ O
然 _ _ O
亦 _ _ O
畏 _ _ O
伏 _ _ O
， _ _ O
絲 _ _ O
毫 _ _ O
不 _ _ O
敢 _ _ O
犯 _ _ O
。 _ _ O
歷 _ _ O
事 _ _ O
周 _ _ O
、 _ _ O
晉 _ _ O
二 _ _ O
代 _ _ O
， _ _ O
以 _ _ O
世 _ _ O
亂 _ _ O
， _ _ O
亦 _ _ O
不 _ _ O
得 _ _ O
進 _ _ O
。 _ _ O
入 _ _ O
宋 _ _ O
， _ _ O
藝 _ _ O
祖 _ _ O
平 _ _ O
南 _ _ O
海 _ _ O
， _ _ O
鮂 _ _ O
選 _ _ O
守 _ _ O
臣 _ _ O
， _ _ O
乃 _ _ O
命 _ _ O
知 _ _ O
康 _ _ O
州 _ _ O
。 _ _ O
未 _ _ O
幾 _ _ O
， _ _ O
以 _ _ O
太 _ _ O
子 _ _ O
中 _ _ O
允 _ _ O
卒 _ _ O
於 _ _ O
官 _ _ O
。 _ _ O
公 _ _ O
漸 _ _ O
顯 _ _ O
， _ _ O
累 _ _ O
贈 _ _ O
工 _ _ O
部 _ _ O
尚 _ _ O
書 _ _ O
。 _ _ O
有 _ _ O
子 _ _ O
四 _ _ O
人 _ _ O
， _ _ O
公 _ _ O
於 _ _ O
次 _ _ O
為 _ _ O
第 _ _ O
三 _ _ O
， _ _ O
諱 _ _ O
國 _ _ O
華 _ _ O
， _ _ O
字 _ _ O
光 _ _ O
弼 _ _ O
。 _ _ O
娶 _ _ O
羅 _ _ B-W1
氏 _ _ I-W1
， _ _ O
諫 _ _ O
議 _ _ O
大 _ _ O
夫 _ _ O
延 _ _ O
吉 _ _ O
之 _ _ O
女 _ _ O
， _ _ O
鄴 _ _ O
王 _ _ O
紹 _ _ O
威 _ _ O
之 _ _ O
孫 _ _ O
， _ _ O
封 _ _ O
宜 _ _ O
城 _ _ O
縣 _ _ O
君 _ _ O
。 _ _ O
六 _ _ O
男 _ _ O
。 _ _ O
球 _ _ B-S
， _ _ O
湖 _ _ O
州 _ _ O
德 _ _ O
清 _ _ O
尉 _ _ O
。 _ _ O
蠧 _ _ B-S
， _ _ O
將 _ _ O
作 _ _ O
監 _ _ O
主 _ _ O
簿 _ _ O
。 _ _ O
琚 _ _ B-S
， _ _ O
司 _ _ O
封 _ _ O
員 _ _ O
外 _ _ O
郎 _ _ O
、 _ _ O
兩 _ _ O
浙 _ _ O
轉 _ _ O
運 _ _ O
使 _ _ O
。 _ _ O
糵 _ _ B-S
， _ _ O
河 _ _ O
陽 _ _ O
司 _ _ O
法 _ _ O
參 _ _ O
軍 _ _ O
。 _ _ O
璩 _ _ B-S
， _ _ O
秘 _ _ O
書 _ _ O
著 _ _ O
作 _ _ O
佐 _ _ O
郎 _ _ O
。 _ _ O
或 _ _ O
自 _ _ O
科 _ _ O
舉 _ _ O
， _ _ O
或 _ _ O
由 _ _ O
蔭 _ _ O
授 _ _ O
， _ _ O
方 _ _ O
以 _ _ O
才 _ _ O
名 _ _ O
并 _ _ O
進 _ _ O
而 _ _ O
不 _ _ O
幸 _ _ O
繼 _ _ O
亡 _ _ O
。 _ _ O
琦 _ _ B-S
， _ _ O
相 _ _ O
仁 _ _ O
宗 _ _ O
皇 _ _ O
帝 _ _ O
， _ _ O
被 _ _ O
遺 _ _ O
制 _ _ O
立 _ _ O
今 _ _ O
天 _ _ O
子 _ _ O
， _ _ O
為 _ _ O
門 _ _ O
下 _ _ O
侍 _ _ O
郎 _ _ O
、 _ _ O
兼 _ _ O
兵 _ _ O
部 _ _ O
尚 _ _ O
書 _ _ O
、 _ _ O
同 _ _ O
中 _ _ O
書 _ _ O
門 _ _ O
下 _ _ O
平 _ _ O
章 _ _ O
事 _ _ O
、 _ _ O
昭 _ _ O
文 _ _ O
館 _ _ O
大 _ _ O
學 _ _ O
士 _ _ O
、 _ _ O
衛 _ _ O
國 _ _ O
公 _ _ O
〔 _ _ O
七 _ _ O
〕 _ _ O
， _ _ O
望 _ _ O
臨 _ _ O
天 _ _ O
下 _ _ O
， _ _ O
瞕 _ _ O
冠 _ _ O
列 _ _ O
辟 _ _ O
。 _ _ O
以 _ _ O
公 _ _ O
積 _ _ O
德 _ _ O
儲 _ _ O
慶 _ _ O
， _ _ O
所 _ _ O
宜 _ _ O
身 _ _ O
享 _ _ O
厚 _ _ O
報 _ _ O
， _ _ O
然 _ _ O
恨 _ _ O
早 _ _ O
世 _ _ O
， _ _ O
不 _ _ O
克 _ _ O
待 _ _ O
其 _ _ O
發 _ _ O
， _ _ O
而 _ _ O
發 _ _ O
於 _ _ O
丞 _ _ O
相 _ _ O
。 _ _ O
丞 _ _ O
相 _ _ O
以 _ _ O
似 _ _ O
以 _ _ O
繼 _ _ O
， _ _ O
其 _ _ O
傳 _ _ O
之 _ _ O
者 _ _ O
又 _ _ O
可 _ _ O
涯 _ _ O
耶 _ _ O
? _ _ O
二 _ _ O
女 _ _ O
， _ _ O
歸 _ _ O
於 _ _ O
衛 _ _ O
尉 _ _ O
卿 _ _ O
高 _ _ B-DH
志 _ _ I-DH
寧 _ _ I-DH
。 _ _ O
丞 _ _ O
相 _ _ O
貴 _ _ O
， _ _ O
累 _ _ O
贈 _ _ O
公 _ _ O
與 _ _ O
祖 _ _ O
尚 _ _ O
書 _ _ O
、 _ _ O
曾 _ _ O
祖 _ _ O
永 _ _ O
濟 _ _ O
三 _ _ O
代 _ _ O
， _ _ O
并 _ _ O
太 _ _ O
師 _ _ O
、 _ _ O
中 _ _ O
書 _ _ O
令 _ _ O
兼 _ _ O
尚 _ _ O
書 _ _ O
令 _ _ O
， _ _ O
又 _ _ O
啟 _ _ O
魏 _ _ O
、 _ _ O
燕 _ _ O
、 _ _ O
冀 _ _ O
三 _ _ O
國 _ _ O
， _ _ O
皆 _ _ O
追 _ _ O
封 _ _ O
為 _ _ O
公 _ _ O
。 _ _ O
妣 _ _ O
羅 _ _ B-WF
氏 _ _ I-WF
、 _ _ O
祖 _ _ O
妣 _ _ O
李 _ _ B-WFF
氏 _ _ I-WFF
、 _ _ O
曾 _ _ O
妣 _ _ O
史 _ _ B-WFFF
氏 _ _ I-WFFF
， _ _ O
亦 _ _ O
以 _ _ O
魏 _ _ O
、 _ _ O
燕 _ _ O
、 _ _ O
齊 _ _ O
三 _ _ O
國 _ _ O
追 _ _ O
封 _ _ O
為 _ _ O
太 _ _ O
夫 _ _ O
人 _ _ O
。 _ _ O

曾 _ _ O
王 _ _ O
父 _ _ O
諱 _ _ O
韜 _ _ B-FFF
， _ _ O
皇 _ _ O
主 _ _ O
莫 _ _ O
州 _ _ O
莫 _ _ O
縣 _ _ O
簿 _ _ O
， _ _ O
贈 _ _ O
太 _ _ O
保 _ _ O
。 _ _ O
曾 _ _ O
王 _ _ O
母 _ _ O
太 _ _ O
原 _ _ O
王 _ _ B-WFFF
氏 _ _ I-WFFF
， _ _ O
封 _ _ O
許 _ _ O
國 _ _ O
太 _ _ O
夫 _ _ O
人 _ _ O
。 _ _ O
王 _ _ O
父 _ _ O
